Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Bihar, 31-08-2019, M, 17.66, 2994761.00, 38.03
Bihar, 30-09-2019, M, 20.46, 2992082.00, 39.25
Bihar, 31-10-2019, M, 14.06, 3173428.00, 38.45
Bihar, 30-11-2019, M, 17.62, 3081076.00, 38.86
Bihar, 31-12-2019, M, 14.91, 2977855.00, 36.29
Bihar, 31-01-2020, M, 20.69, 2988665.00, 38.99
Bihar, 29-02-2020, M, 15.11, 3113464.00, 37.87
Bihar, 31-03-2020, M, 15.73, 3049637.00, 37.29
Bihar, 30-04-2020, M, 58.77, 1400962.00, 34.94
Bihar, 31-05-2020, M, 35.99, 2229884.00, 35.74
Bihar, 30-06-2020, M, 12.61, 3108389.00, 36.42
Bihar, 31-07-2020, M, 17.93, 3026772.00, 37.68
Bihar, 31-08-2020, M, 21.50, 2766159.00, 35.93
Bihar, 30-09-2020, M, 17.83, 3017267.00, 37.36
Bihar, 31-10-2020, M, 11.04, 3074204.00, 35.09
Bihar, 30-11-2020, M, 15.14, 3110589.00, 37.14
Bihar, 31-12-2020, M, 18.05, 2949613.00, 36.39
Bihar, 31-01-2021, M, 16.87, 2997440.00, 36.38
Bihar, 28-02-2021, M, 13.46, 3076085.00, 35.79
Bihar, 31-03-2021, M, 18.17, 3028056.00, 37.18
Bihar, 30-04-2021, M, 21.40, 2932268.00, 37.40
Bihar, 31-05-2021, M, 16.94, 3102360.00, 37.37
Bihar, 30-06-2021, M, 13.08, 2999740.00, 34.46
Bihar, 31-07-2021, M, 17.52, 2986184.00, 36.07
Bihar, 31-08-2021, M, 19.49, 2841203.00, 35.08
Bihar, 30-09-2021, M, 16.92, 2989255.00, 35.69
Bihar, 31-10-2021, M, 15.09, 2952463.00, 34.42
Bihar, 30-11-2021, M, 20.55, 2938622.00, 36.54
Bihar, 31-12-2021, M, 23.24, 2792549.00, 35.86
Bihar, 31-01-2022, M, 16.45, 2999335.00, 35.31
Bihar, 28-02-2022, M, 17.07, 2869441.00, 33.97
Bihar, 31-03-2022, M, 17.85, 2960091.00, 35.30
Bihar, 30-04-2022, M, 24.74, 2738122.00, 35.57
Bihar, 31-05-2022, M, 16.43, 2941137.00, 34.33
Bihar, 30-06-2022, M, 16.28, 2873518.00, 33.41
Bihar, 31-07-2022, M, 20.74, 2896221.00, 35.50
Bihar, 31-08-2022, M, 24.60, 2760881.00, 35.49
Bihar, 30-09-2022, M, 19.08, 2974617.00, 35.56
Bihar, 31-10-2022, M, 18.94, 2880957.00, 34.30
Bihar, 30-11-2022, M, 17.96, 3036314.00, 35.65
